CIF_NO,MONTH,total_income,total_expense,total_debt_payment,count_income,count_expense,count_debt_payment,net_cashflow,total_transactions
10000000,2025-01,165787375,40017744,10586000,20,87,24,115183631,131
10000000,2025-02,95158000,54804476,7930924,8,51,12,32422600,71
10000000,2025-03,131192726,53654900,9636000,18,71,24,67901826,113
10000000,2025-04,113342000,25094727,2672000,14,74,20,85575273,108
10000000,2025-05,88458000,19072385,1836000,8,48,16,67549615,72
10000000,2025-06,90379360,10333147,3309000,14,43,10,76737213,67
10000001,2025-01,109775000,60055925,8668004,9,67,20,41051071,96
10000001,2025-02,89674090,34166138,1998000,9,96,14,53509952,119
10000001,2025-03,399500800,32809696,7708000,28,65,23,358983104,116
10000001,2025-04,67546000,24547000,22731000,8,42,28,20268000,78
10000001,2025-05,200300000,44473355,8371000,13,84,23,147455645,120
10000001,2025-06,118064104,36003539,7524000,7,74,25,74536565,106
10000002,2025-01,72629147,47619587,6262692,12,111,19,18746868,144
10000002,2025-02,160687507,27278114,17768209,12,48,26,115641184,90
10000002,2025-03,32940000,22597164,5285000,2,62,18,5057836,82
10000002,2025-04,41452000,39355312,7289408,5,72,19,-5192720,96
10000002,2025-05,74430147,18586396,4524000,6,52,13,51319751,71
10000002,2025-06,208644159,54244689,11156000,16,73,25,143243470,114
10000003,2025-01,113856000,38666665,9464678,14,88,27,65724657,129
10000003,2025-02,74129000,30735000,6710000,6,75,27,36684000,108
10000003,2025-03,30370000,39087417,3122180,5,89,19,-11839597,113
10000003,2025-04,146259228,54294523,21876000,10,55,22,70088705,87
10000003,2025-05,150818000,62627163,8635000,9,58,23,79555837,90
10000003,2025-06,159354000,16163688,1651000,18,67,10,141539312,95
10000004,2025-01,169530000,90194526,16863000,15,72,16,62472474,103
10000004,2025-02,123217000,28187367,5231000,16,67,17,89798633,100
10000004,2025-03,68904000,29834294,5220428,5,68,35,33849278,108
10000004,2025-04,218336037,74827961,21179000,16,65,35,122329076,116
10000004,2025-05,222417000,33804267,8838000,16,77,24,179774733,118
10000004,2025-06,83431000,9461156,1472000,10,55,14,72497844,79
10000005,2025-01,150728000,52745883,18590762,13,94,25,79391355,132
10000005,2025-02,101412000,22249000,1922000,7,70,10,77241000,87
10000005,2025-03,83808364,24220389,3460803,7,65,21,56127172,93
10000005,2025-04,43460501,52791474,3447404,5,75,16,-12778377,96
10000005,2025-05,172710388,17200150,2958000,16,47,16,152552238,79
10000005,2025-06,51387000,46402000,8760000,3,54,19,-3775000,76
10000006,2025-01,150239486,26611000,5665000,13,76,25,117963486,117
10000006,2025-02,112197180,46628085,14427000,13,64,19,51142095,96
10000006,2025-03,73878000,25650998,6962000,8,80,40,41265002,128
10000006,2025-04,105228624,37931782,13719296,11,63,31,53577546,105
10000006,2025-05,113213733,41687570,4205000,15,42,14,67321163,71
10000006,2025-06,189092000,53240942,7603053,21,83,14,128248005,118
10000007,2025-01,113909000,33453614,7797036,11,44,13,72658350,68
10000007,2025-02,170830660,33658464,11644000,14,68,20,125528196,102
10000007,2025-03,96991965,24777309,1164000,10,43,10,71050656,63
10000007,2025-04,115470000,8166000,912000,9,59,12,106392000,81
10000007,2025-05,121888000,15861959,10434834,10,75,35,95591207,120
10000007,2025-06,159350000,38763116,11597086,14,78,25,108989798,117
10000008,2025-01,219663781,35947715,4778857,12,104,21,178937209,138
10000008,2025-02,113637000,27328854,2637630,14,90,14,83670516,118
10000008,2025-03,161473734,5860453,1704000,15,45,25,153909281,85
10000008,2025-04,102566474,9664000,873062,7,60,20,92029412,87
10000008,2025-05,72351000,24881000,1709000,7,57,6,45761000,70
10000008,2025-06,136734548,42368487,8082363,17,74,24,86283698,115
10000009,2025-01,102720000,45668832,13096000,9,55,10,43955168,74
10000009,2025-02,66963000,26784886,1851176,8,59,8,38326938,75
10000009,2025-03,23869000,11017447,1388000,4,55,10,11463553,69
10000009,2025-04,69169000,47127757,5222000,10,64,9,16819243,83
10000009,2025-05,88405879,47272000,8407000,8,68,18,32726879,94
10000009,2025-06,178650000,121096556,18296000,17,95,23,39257444,135
10000010,2025-01,264308861,57414726,12812409,24,85,22,194081726,131
10000010,2025-02,30556000,31452895,4518629,3,76,22,-5415524,101
10000010,2025-03,135211000,46086482,16937000,12,38,15,72187518,65
10000010,2025-04,94727000,40585865,16003735,10,83,31,38137400,124
10000010,2025-05,33205000,11765000,996358,6,70,21,20443642,97
10000010,2025-06,135189000,23229041,7263000,10,97,18,104696959,126
10000011,2025-01,41427000,29292723,3510133,6,88,28,8624144,122
